D20210610,D20210622,D20210704,D20210716,D20210728,D20210809,D20210821,D20210902,D20210914,D20210926,D20211008,D20211020,D20211101,D20211113,D20211125,D20211207,D20211219,D20211231,D20220112,D20220124,D20220205,D20220217,D20220301,D20220313,D20220325,D20220406,D20220418,D20220430,D20220512,D20220524,D20220605,D20220617,D20220629,D20220711,D20220723,D20220804,D20220816,D20220828,D20220909,D20220921,D20221003,D20221015,D20221027,D20221108,D20221120,D20221202,D20221214,D20221226,D20230107,D20230119,D20230131,D20230212,D20230224,D20230308,D20230320,D20230401,D20230413,D20230425,D20230507,D20230519,D20230531,D20230612,D20230624,D20230706,D20230718,D20230730,D20230811,D20230823,D20230904,D20230916,D20230928,D20231010,D20231022,D20231103,D20231115,D20231127,D20231209,D20231221,D20240102,D20240114,D20240126,D20240207,D20240219
1.3584126,1.3216265,1.3416219,1.3255894,1.3176961,1.1670829,1.109969,0.8966523,0.7775824,0.6766267,0.6078834,0.5365017,0.7140936,0.8284207,0.68061644,0.62750447,0.5797869,0.60819626,0.63421714,0.699049,0.8297854,0.8612078,0.94699514,1.0582811,1.0658236,0.8828651,0.79284704,0.7469183,0.64926213,0.6356012,0.84317005,0.8634652,1.0773896,1.2051753,1.2567407,1.3041904,1.3256902,1.1946234,1.0083989,0.8934704,0.8811585,0.88385266,0.87000674,0.8100285,0.54540586,0.54218507,0.7014589,0.73017925,0.6217765,0.7478317,0.6130395,0.674684,0.79827505,0.6716019,0.8030225,0.70972264,0.7842779,0.809022,0.8846839,0.71524197,0.8442526,0.7964917,0.8500361,0.8371536,0.7139895,0.70535666,0.7749811,0.81410027,0.8069546,0.9077372,0.78,0.8443429,0.7549757,0.8518836,0.75350875,0.7420673,0.88743395,0.78073615,0.68925387,0.7833669,0.6846233,0.7729503,0.6833997
1.0396078,1.0336516,1.0580361,1.1024222,1.1072094,1.0183566,1.0458618,0.9109079,0.751601,0.6825604,0.72267175,0.7377955,0.7611994,0.85051566,0.712761,0.76586616,0.6767902,0.8591653,0.9885839,1.0123503,1.0234642,1.0624654,1.1171764,1.1554296,1.1412252,1.0467207,0.94107425,0.91665286,0.9429799,0.9370421,0.9098013,0.84136057,1.0093843,0.9903701,0.97319454,1.0505935,1.1609317,0.9893418,0.95929074,0.9560449,0.9240094,1.009937,1.1052245,1.0323799,0.7398584,0.7963887,0.93898535,0.9151062,0.7513659,0.8376847,0.75467944,0.81166035,0.9101192,0.85688823,1.048867,1.0419457,1.0027791,1.0233545,0.99806595,0.8673687,1.0283757,1.068034,1.0162317,1.0929973,0.95796424,0.85510707,0.8737832,0.97992134,0.858561,0.9954505,0.93522227,0.9205805,0.8152013,0.78527665,0.76243067,0.79055285,0.826195,0.7059368,0.5891381,0.59155905,0.6749592,0.78649676,0.7641312
0.96945083,1.034143,1.0063443,1.025693,0.9523918,0.85760397,0.9279374,0.88050824,1.0021828,0.99909455,0.96620286,0.9066411,0.8826403,0.7992764,0.7774244,0.7813961,0.80280215,0.7645839,0.7244961,0.7330233,0.76221246,0.7184294,0.6644642,0.69973946,0.85998774,1.0190638,0.98182833,0.9781616,1.0759046,1.1627004,1.1909715,1.1584395,1.1607572,1.1059656,1.1265688,1.1168354,1.1036606,1.0813276,1.1164433,1.0907365,1.0280973,1.0672638,1.12855,1.0351613,0.7423555,0.7963176,0.8125155,0.8236467,1.0644975,1.1571343,1.17292,1.2469009,1.3180717,1.320628,1.3616835,1.3104302,1.2918665,1.2814339,1.2275609,1.1282297,1.1611702,1.1098135,1.0154028,1.0468484,0.99686086,0.957154,0.9539742,0.9681479,0.8750398,0.88761103,0.8788296,0.88767475,0.959341,0.9419187,0.9505242,0.97470313,0.92366016,0.90532506,0.8934262,0.8040758,0.7821216,0.9221595,0.8467559
1.0651335,1.1186558,1.0208493,0.95957166,1.1024845,1.01599,0.88138926,0.84230036,0.7825333,0.86068326,0.8150056,0.73737186,0.7675468,0.6817897,0.6104935,0.5592952,0.54947054,0.5701725,0.59241045,0.64669454,0.76991117,0.9098685,0.9743731,0.96862614,0.9356541,0.91964835,0.87628675,0.80787057,0.8453225,0.98576975,0.9374877,1.005678,0.9914707,0.8301657,0.8804876,0.8950346,0.83308876,0.9176837,0.9930483,1.015658,0.98424816,0.9038275,0.8940316,0.9565522,0.67235094,0.8435628,0.92376477,0.79250497,0.70507056,0.72372437,0.6253395,0.7170893,0.8001578,0.7457512,1.0891863,1.0830972,1.1709492,1.2313327,1.2470255,1.2003964,1.2379833,1.2160394,1.1164553,1.0754514,0.9180586,0.8271057,0.8684483,0.9194945,0.8343074,0.8214639,0.8303829,0.8695092,0.89364433,0.7952398,0.7101116,0.67044413,0.8109722,0.74715316,0.6932347,0.59318954,0.53875,0.85546786,0.71904075
0.74223256,0.80581725,0.8563515,0.8516801,0.7959381,0.7663309,0.7636051,0.8057085,0.8343628,0.94810796,0.9315339,0.94613844,0.9527338,0.944209,0.95346963,0.8710908,0.8923635,0.9717232,0.921607,0.80723673,0.82911307,0.75933844,0.69754714,0.7294008,0.7753135,0.7430977,0.671662,0.57424504,0.5536827,0.6921424,0.78950906,0.8084207,0.791819,0.78073734,0.79764736,0.71129346,0.8134397,0.75745976,0.7939521,0.8213616,0.82408226,0.90770805,1.0687872,1.1458942,0.8428574,0.9040765,1.0165616,1.0085365,1.0565114,1.1852523,1.1338489,1.1233958,1.1850588,1.1811913,1.184636,1.2239455,1.2218482,1.2183938,1.1805952,1.0610194,1.1005055,0.9985589,0.81884336,0.8213274,0.6825096,0.6624286,1.0051552,1.2051599,1.0983981,1.0861596,1.0544809,1.0947354,1.1673932,1.082252,1.0048244,0.96800107,1.0842941,1.0274796,0.93666714,0.8848911,0.9347098,1.023874,1.0926198
1.1924326,1.095674,1.0588179,1.2711352,1.2219735,1.184232,1.0022068,0.9677832,0.9566676,1.0205891,1.0485336,0.8520096,0.8868629,0.90233964,0.8299314,0.83982146,0.6934364,0.6311917,0.4874129,0.534401,0.93706524,1.0642756,1.0599217,1.0130495,0.99038243,0.9876031,0.7988793,0.66100484,0.6898417,0.63595337,0.625839,0.797757,1.006869,1.0087422,0.9022939,0.7216755,0.6838725,0.7126381,1.0160407,1.0571136,0.8458633,0.6184013,0.7859362,0.99428165,0.7058002,0.9386986,0.9839473,0.8448204,0.9319508,0.803924,0.67489076,0.8532304,0.98567164,0.9269119,1.0649025,0.92498493,0.8842894,0.9267636,1.0282779,1.0746346,1.2473241,1.2739851,1.2158566,1.0088907,0.8577039,0.66955656,0.8343779,0.94249344,0.9328772,0.85156405,0.7897707,0.88779014,0.9657748,1.0005591,0.8973043,1.0095557,1.0686992,0.9058821,0.8660584,0.7231629,0.85106754,0.7496877,0.68512475
1.0754693,1.0848206,1.1101929,1.1112627,1.147772,1.0761946,1.021442,0.9334663,0.95271856,0.96785796,0.91265166,0.93117315,0.8665982,0.8358162,0.8356382,0.6840354,0.65497625,0.7175753,0.63454974,0.56606513,0.80137134,0.94774145,1.0326722,1.0769936,1.0567756,0.9340627,0.73798656,0.5417417,0.4686689,0.5673086,0.7024554,0.73667985,0.7324006,0.747727,0.743395,0.8125166,0.91857994,0.82536185,0.85233104,0.88982964,0.8543368,0.776109,0.6994161,0.6188341,0.38823435,0.46471995,0.5325074,0.4676646,0.43334234,0.5527118,0.5199532,0.62017804,0.76449615,0.76724184,0.75840896,0.82382363,0.73923224,0.76818365,0.8395297,0.90838575,0.9728676,0.9537655,0.82758915,0.8149652,0.6755738,0.55061966,0.7220884,0.77553314,0.729211,0.6929598,0.6917572,0.7114853,0.7831596,0.68275464,0.57453275,0.5228334,0.60589695,0.525312,0.49003866,0.53591895,0.48021886,0.46322668,0.4310063
0.8587602,0.9043194,0.93852735,0.953252,1.0290356,1.1251675,1.1243312,1.1011686,1.1071141,1.0219427,0.94452214,1.0228777,0.8616401,0.8052187,0.69027174,0.56203717,0.61598647,0.5780086,0.5050806,0.46442598,0.41763684,0.354662,0.5455977,0.7974832,0.9190931,0.89197844,0.90303624,0.87631744,0.87829435,1.0066587,1.0304552,0.9945451,1.0739847,0.9912622,0.92417204,0.8876348,1.0326806,0.94040865,0.9609611,1.0159392,0.99273133,0.8801753,0.7791766,0.7775733,0.5179943,0.6885537,0.7983257,0.74812406,0.68043905,0.518895,0.4575439,0.47816786,0.4460424,0.41617215,0.6865936,0.72446704,0.77124834,0.8323836,0.900974,0.81669563,1.0311399,1.007319,0.9498865,0.98170143,0.93600255,0.75084966,0.77551,0.7963203,0.7417629,0.8922267,0.86210096,0.71832603,0.83376133,0.7693579,0.65133303,0.60928977,0.60224617,0.70831126,0.6471499,0.81124,0.75462073,0.71461,0.58296347
1.0320578,1.0155615,1.0424088,1.0463763,1.0526155,0.9915016,0.93280745,0.86787385,0.89376915,0.86094385,0.86757565,0.8564,0.8288893,0.7795786,0.76662856,0.7923351,0.7882991,0.83801174,0.8686083,0.87763065,0.91511154,0.97460896,1.0387995,1.0832276,1.0800552,1.0174869,0.9670968,0.9183088,0.8973855,0.94717,0.9525656,0.8527925,0.9273845,0.9224914,0.9487177,0.958465,1.0655086,0.98681813,1.0107943,1.0383824,0.9908782,0.9003032,0.85251933,0.8431378,0.5736484,0.746066,0.8595475,0.7833613,0.7138994,0.84629315,0.8393271,0.95987403,1.0906337,1.0988312,1.1981614,1.1678892,1.1642524,1.1405312,1.1228094,0.99979424,1.1018882,1.0309838,0.8955025,0.90482205,0.8525753,0.78264856,0.8729986,0.98882514,0.9126171,0.914571,0.87040263,0.88493735,0.8661643,0.7946563,0.7067777,0.6851375,0.7075602,0.7471056,0.78087884,0.780079,0.8598661,1.0294547,1.0195808
0.9192405,0.975387,0.9673443,0.9877711,1.031246,1.0367949,1.0341657,1.041772,1.0674692,1.0197226,1.0205014,1.0094138,0.9372894,0.86909884,0.8383123,0.7668903,0.67772484,0.7211406,0.73664016,0.746394,0.85353774,0.94320685,1.0433631,1.1326438,1.1606005,1.098913,1.0416169,1.0224341,1.0120897,1.0021514,1.0416297,0.9376249,0.9879229,0.9984936,0.99063194,0.9212233,1.0317234,1.0548351,0.9948205,0.9985616,1.0386525,0.99346673,0.8982015,0.83144623,0.563644,0.7703749,0.87195176,0.7582056,0.6530063,0.8287339,0.9348562,1.0658692,1.1450895,1.1220533,1.2044692,1.1645687,1.1047646,1.141517,1.1288886,1.0303422,1.1321069,1.0521973,0.88037634,0.90743744,0.81996655,0.69879806,0.7338479,0.86131173,0.7593475,0.7196833,0.70921665,0.7368926,0.7151345,0.6230544,0.6296055,0.58101386,0.57832026,0.6558896,0.741462,0.7468755,0.81525266,0.9985549,0.9680972
